,region,AveragePrice,Date_object
0,Albany,1.33,2015-12-27
1,Albany,1.35,2015-12-20
2,Albany,0.93,2015-12-13
3,Albany,1.08,2015-12-06
4,Albany,1.28,2015-11-29
5,Albany,1.26,2015-11-22
6,Albany,0.99,2015-11-15
7,Albany,0.98,2015-11-08
8,Albany,1.02,2015-11-01
9,Albany,1.07,2015-10-25
10,Albany,1.12,2015-10-18
11,Albany,1.28,2015-10-11
12,Albany,1.31,2015-10-04
13,Albany,0.99,2015-09-27
14,Albany,1.33,2015-09-20
15,Albany,1.28,2015-09-13
16,Albany,1.11,2015-09-06
17,Albany,1.07,2015-08-30
18,Albany,1.34,2015-08-23
19,Albany,1.33,2015-08-16
20,Albany,1.12,2015-08-09
21,Albany,1.45,2015-08-02
22,Albany,1.11,2015-07-26
23,Albany,1.26,2015-07-19
24,Albany,1.05,2015-07-12
25,Albany,1.35,2015-07-05
26,Albany,1.37,2015-06-28
27,Albany,1.27,2015-06-21
28,Albany,1.32,2015-06-14
29,Albany,1.07,2015-06-07
30,Albany,1.23,2015-05-31
31,Albany,1.19,2015-05-24
32,Albany,1.43,2015-05-17
33,Albany,1.26,2015-05-10
34,Albany,1.2,2015-05-03
35,Albany,1.22,2015-04-26
36,Albany,1.19,2015-04-19
37,Albany,1.13,2015-04-12
38,Albany,1.16,2015-04-05
39,Albany,1.02,2015-03-29
40,Albany,1.12,2015-03-22
41,Albany,1.11,2015-03-15
42,Albany,1.07,2015-03-08
43,Albany,0.99,2015-03-01
44,Albany,1.07,2015-02-22
45,Albany,1.06,2015-02-15
46,Albany,0.99,2015-02-08
47,Albany,0.99,2015-02-01
48,Albany,1.06,2015-01-25
49,Albany,1.17,2015-01-18
50,Albany,1.24,2015-01-11
51,Albany,1.22,2015-01-04
52,Atlanta,0.99,2015-12-27
53,Atlanta,1.08,2015-12-20
54,Atlanta,0.96,2015-12-13
55,Atlanta,1.07,2015-12-06
56,Atlanta,0.99,2015-11-29
57,Atlanta,1.0,2015-11-22
58,Atlanta,1.13,2015-11-15
59,Atlanta,1.12,2015-11-08
60,Atlanta,0.99,2015-11-01
61,Atlanta,1.09,2015-10-25
62,Atlanta,1.09,2015-10-18
63,Atlanta,0.95,2015-10-11
64,Atlanta,0.96,2015-10-04
65,Atlanta,1.07,2015-09-27
66,Atlanta,0.93,2015-09-20
67,Atlanta,1.07,2015-09-13
68,Atlanta,0.97,2015-09-06
69,Atlanta,1.15,2015-08-30
70,Atlanta,1.12,2015-08-23
71,Atlanta,1.09,2015-08-16
72,Atlanta,1.01,2015-08-09
73,Atlanta,1.15,2015-08-02
74,Atlanta,1.08,2015-07-26
75,Atlanta,0.97,2015-07-19
76,Atlanta,1.14,2015-07-12
77,Atlanta,1.01,2015-07-05
78,Atlanta,1.13,2015-06-28
79,Atlanta,0.99,2015-06-21
80,Atlanta,1.1,2015-06-14
81,Atlanta,0.99,2015-06-07
82,Atlanta,1.1,2015-05-31
83,Atlanta,0.96,2015-05-24
84,Atlanta,1.11,2015-05-17
85,Atlanta,1.1,2015-05-10
86,Atlanta,1.0,2015-05-03
87,Atlanta,1.12,2015-04-26
88,Atlanta,1.12,2015-04-19
89,Atlanta,0.99,2015-04-12
90,Atlanta,1.04,2015-04-05
91,Atlanta,1.11,2015-03-29
92,Atlanta,1.0,2015-03-22
93,Atlanta,1.12,2015-03-15
94,Atlanta,1.1,2015-03-08
95,Atlanta,0.99,2015-03-01
96,Atlanta,1.1,2015-02-22
97,Atlanta,1.06,2015-02-15
98,Atlanta,1.03,2015-02-08
99,Atlanta,0.96,2015-02-01
100,Atlanta,1.1,2015-01-25
101,Atlanta,1.11,2015-01-18
102,Atlanta,1.11,2015-01-11
103,Atlanta,1.0,2015-01-04
104,BaltimoreWashington,1.17,2015-12-27
105,BaltimoreWashington,1.11,2015-12-20
106,BaltimoreWashington,1.15,2015-12-13
107,BaltimoreWashington,1.04,2015-12-06
108,BaltimoreWashington,1.16,2015-11-29
109,BaltimoreWashington,1.12,2015-11-22
110,BaltimoreWashington,1.04,2015-11-15
111,BaltimoreWashington,1.05,2015-11-08
112,BaltimoreWashington,1.12,2015-11-01
113,BaltimoreWashington,1.19,2015-10-25
114,BaltimoreWashington,0.99,2015-10-18
115,BaltimoreWashington,1.24,2015-10-11
116,BaltimoreWashington,1.28,2015-10-04
117,BaltimoreWashington,1.19,2015-09-27
118,BaltimoreWashington,1.17,2015-09-20
119,BaltimoreWashington,1.09,2015-09-13
120,BaltimoreWashington,1.18,2015-09-06
121,BaltimoreWashington,1.24,2015-08-30
122,BaltimoreWashington,1.16,2015-08-23
123,BaltimoreWashington,1.14,2015-08-16
124,BaltimoreWashington,1.16,2015-08-09
125,BaltimoreWashington,1.17,2015-08-02
126,BaltimoreWashington,1.2,2015-07-26
127,BaltimoreWashington,1.18,2015-07-19
128,BaltimoreWashington,1.1,2015-07-12
129,BaltimoreWashington,1.16,2015-07-05
130,BaltimoreWashington,1.15,2015-06-28
131,BaltimoreWashington,1.16,2015-06-21
132,BaltimoreWashington,1.09,2015-06-14
133,BaltimoreWashington,1.26,2015-06-07
134,BaltimoreWashington,1.19,2015-05-31
135,BaltimoreWashington,1.18,2015-05-24
136,BaltimoreWashington,1.27,2015-05-17
137,BaltimoreWashington,1.26,2015-05-10
138,BaltimoreWashington,1.17,2015-05-03
139,BaltimoreWashington,1.29,2015-04-26
140,BaltimoreWashington,1.28,2015-04-19
141,BaltimoreWashington,1.15,2015-04-12
142,BaltimoreWashington,1.29,2015-04-05
143,BaltimoreWashington,1.25,2015-03-29
144,BaltimoreWashington,1.1,2015-03-22
145,BaltimoreWashington,1.24,2015-03-15
146,BaltimoreWashington,1.26,2015-03-08
147,BaltimoreWashington,1.16,2015-03-01
148,BaltimoreWashington,1.11,2015-02-22
149,BaltimoreWashington,1.25,2015-02-15
