Date,region,AveragePrice
2015-12-27,Albany,1.33
2015-12-20,Albany,1.35
2015-12-13,Albany,0.93
2015-12-06,Albany,1.08
2015-11-29,Albany,1.28
2015-11-22,Albany,1.26
2015-11-15,Albany,0.99
2015-11-08,Albany,0.98
2015-11-01,Albany,1.02
2015-10-25,Albany,1.07
2015-10-18,Albany,1.12
2015-10-11,Albany,1.28
2015-10-04,Albany,1.31
2015-09-27,Albany,0.99
2015-09-20,Albany,1.33
2015-09-13,Albany,1.28
2015-09-06,Albany,1.11
2015-08-30,Albany,1.07
2015-08-23,Albany,1.34
2015-08-16,Albany,1.33
2015-08-09,Albany,1.12
2015-08-02,Albany,1.45
2015-07-26,Albany,1.11
2015-07-19,Albany,1.26
2015-07-12,Albany,1.05
2015-07-05,Albany,1.35
2015-06-28,Albany,1.37
2015-06-21,Albany,1.27
2015-06-14,Albany,1.32
2015-06-07,Albany,1.07
2015-05-31,Albany,1.23
2015-05-24,Albany,1.19
2015-05-17,Albany,1.43
2015-05-10,Albany,1.26
2015-05-03,Albany,1.2
2015-04-26,Albany,1.22
2015-04-19,Albany,1.19
2015-04-12,Albany,1.13
2015-04-05,Albany,1.16
2015-03-29,Albany,1.02
2015-03-22,Albany,1.12
2015-03-15,Albany,1.11
2015-03-08,Albany,1.07
2015-03-01,Albany,0.99
2015-02-22,Albany,1.07
2015-02-15,Albany,1.06
2015-02-08,Albany,0.99
2015-02-01,Albany,0.99
2015-01-25,Albany,1.06
2015-01-18,Albany,1.17
2015-01-11,Albany,1.24
2015-01-04,Albany,1.22
2015-12-27,Atlanta,0.99
2015-12-20,Atlanta,1.08
2015-12-13,Atlanta,0.96
2015-12-06,Atlanta,1.07
2015-11-29,Atlanta,0.99
2015-11-22,Atlanta,1.0
2015-11-15,Atlanta,1.13
2015-11-08,Atlanta,1.12
2015-11-01,Atlanta,0.99
2015-10-25,Atlanta,1.09
2015-10-18,Atlanta,1.09
2015-10-11,Atlanta,0.95
2015-10-04,Atlanta,0.96
2015-09-27,Atlanta,1.07
2015-09-20,Atlanta,0.93
2015-09-13,Atlanta,1.07
2015-09-06,Atlanta,0.97
2015-08-30,Atlanta,1.15
2015-08-23,Atlanta,1.12
2015-08-16,Atlanta,1.09
2015-08-09,Atlanta,1.01
2015-08-02,Atlanta,1.15
2015-07-26,Atlanta,1.08
2015-07-19,Atlanta,0.97
2015-07-12,Atlanta,1.14
2015-07-05,Atlanta,1.01
2015-06-28,Atlanta,1.13
2015-06-21,Atlanta,0.99
2015-06-14,Atlanta,1.1
2015-06-07,Atlanta,0.99
2015-05-31,Atlanta,1.1
2015-05-24,Atlanta,0.96
2015-05-17,Atlanta,1.11
2015-05-10,Atlanta,1.1
2015-05-03,Atlanta,1.0
2015-04-26,Atlanta,1.12
2015-04-19,Atlanta,1.12
2015-04-12,Atlanta,0.99
2015-04-05,Atlanta,1.04
2015-03-29,Atlanta,1.11
2015-03-22,Atlanta,1.0
2015-03-15,Atlanta,1.12
2015-03-08,Atlanta,1.1
2015-03-01,Atlanta,0.99
2015-02-22,Atlanta,1.1
2015-02-15,Atlanta,1.06
2015-02-08,Atlanta,1.03
2015-02-01,Atlanta,0.96
2015-01-25,Atlanta,1.1
2015-01-18,Atlanta,1.11
2015-01-11,Atlanta,1.11
2015-01-04,Atlanta,1.0
2015-12-27,BaltimoreWashington,1.17
2015-12-20,BaltimoreWashington,1.11
2015-12-13,BaltimoreWashington,1.15
2015-12-06,BaltimoreWashington,1.04
2015-11-29,BaltimoreWashington,1.16
2015-11-22,BaltimoreWashington,1.12
2015-11-15,BaltimoreWashington,1.04
2015-11-08,BaltimoreWashington,1.05
2015-11-01,BaltimoreWashington,1.12
2015-10-25,BaltimoreWashington,1.19
2015-10-18,BaltimoreWashington,0.99
2015-10-11,BaltimoreWashington,1.24
2015-10-04,BaltimoreWashington,1.28
2015-09-27,BaltimoreWashington,1.19
2015-09-20,BaltimoreWashington,1.17
2015-09-13,BaltimoreWashington,1.09
2015-09-06,BaltimoreWashington,1.18
2015-08-30,BaltimoreWashington,1.24
2015-08-23,BaltimoreWashington,1.16
2015-08-16,BaltimoreWashington,1.14
2015-08-09,BaltimoreWashington,1.16
2015-08-02,BaltimoreWashington,1.17
2015-07-26,BaltimoreWashington,1.2
2015-07-19,BaltimoreWashington,1.18
2015-07-12,BaltimoreWashington,1.1
2015-07-05,BaltimoreWashington,1.16
2015-06-28,BaltimoreWashington,1.15
2015-06-21,BaltimoreWashington,1.16
2015-06-14,BaltimoreWashington,1.09
2015-06-07,BaltimoreWashington,1.26
2015-05-31,BaltimoreWashington,1.19
2015-05-24,BaltimoreWashington,1.18
2015-05-17,BaltimoreWashington,1.27
2015-05-10,BaltimoreWashington,1.26
2015-05-03,BaltimoreWashington,1.17
2015-04-26,BaltimoreWashington,1.29
2015-04-19,BaltimoreWashington,1.28
2015-04-12,BaltimoreWashington,1.15
2015-04-05,BaltimoreWashington,1.29
2015-03-29,BaltimoreWashington,1.25
2015-03-22,BaltimoreWashington,1.1
2015-03-15,BaltimoreWashington,1.24
2015-03-08,BaltimoreWashington,1.26
2015-03-01,BaltimoreWashington,1.16
2015-02-22,BaltimoreWashington,1.11
2015-02-15,BaltimoreWashington,1.25
2015-02-08,BaltimoreWashington,1.09
2015-02-01,BaltimoreWashington,1.06
2015-01-25,BaltimoreWashington,1.2
2015-01-18,BaltimoreWashington,1.23
2015-01-11,BaltimoreWashington,1.17
2015-01-04,BaltimoreWashington,1.08
2015-12-27,Boise,0.97
2015-12-20,Boise,1.03
2015-12-13,Boise,0.99
2015-12-06,Boise,0.71
2015-11-29,Boise,1.06
2015-11-22,Boise,1.09
2015-11-15,Boise,1.01
2015-11-08,Boise,1.11
2015-11-01,Boise,1.14
2015-10-25,Boise,1.11
2015-10-18,Boise,1.16
2015-10-11,Boise,0.94
2015-10-04,Boise,1.12
2015-09-27,Boise,0.99
2015-09-20,Boise,1.03
2015-09-13,Boise,1.08
2015-09-06,Boise,1.16
2015-08-30,Boise,1.19
2015-08-23,Boise,1.05
2015-08-16,Boise,1.12
2015-08-09,Boise,1.1
2015-08-02,Boise,1.07
2015-07-26,Boise,1.07
2015-07-19,Boise,1.09
2015-07-12,Boise,1.05
2015-07-05,Boise,1.15
2015-06-28,Boise,1.04
2015-06-21,Boise,1.06
2015-06-14,Boise,0.99
2015-06-07,Boise,1.12
2015-05-31,Boise,0.97
2015-05-24,Boise,1.03
2015-05-17,Boise,0.96
2015-05-10,Boise,1.06
2015-05-03,Boise,1.0
2015-04-26,Boise,0.96
2015-04-19,Boise,0.99
2015-04-12,Boise,1.19
2015-04-05,Boise,1.09
2015-03-29,Boise,0.98
2015-03-22,Boise,1.17
2015-03-15,Boise,1.0
2015-03-08,Boise,1.14
2015-03-01,Boise,1.06
2015-02-22,Boise,0.99
2015-02-15,Boise,1.14
2015-02-08,Boise,1.07
2015-02-01,Boise,0.91
2015-01-25,Boise,1.03
2015-01-18,Boise,1.08
2015-01-11,Boise,1.18
2015-01-04,Boise,1.01
2015-12-27,Boston,1.13
2015-12-20,Boston,1.07
2015-12-13,Boston,1.01
2015-12-06,Boston,1.02
2015-11-29,Boston,1.19
2015-11-22,Boston,1.07
2015-11-15,Boston,1.05
2015-11-08,Boston,1.04
2015-11-01,Boston,1.06
2015-10-25,Boston,1.02
2015-10-18,Boston,0.94
2015-10-11,Boston,1.14
2015-10-04,Boston,1.07
2015-09-27,Boston,1.07
2015-09-20,Boston,1.15
2015-09-13,Boston,1.03
2015-09-06,Boston,1.11
2015-08-30,Boston,1.13
2015-08-23,Boston,1.07
2015-08-16,Boston,1.15
2015-08-09,Boston,1.07
2015-08-02,Boston,1.17
2015-07-26,Boston,1.28
2015-07-19,Boston,1.18
2015-07-12,Boston,1.14
2015-07-05,Boston,1.27
2015-06-28,Boston,1.25
2015-06-21,Boston,1.24
2015-06-14,Boston,1.08
2015-06-07,Boston,1.25
2015-05-31,Boston,1.26
2015-05-24,Boston,1.14
2015-05-17,Boston,1.26
2015-05-10,Boston,1.14
2015-05-03,Boston,1.17
2015-04-26,Boston,1.28
2015-04-19,Boston,1.15
2015-04-12,Boston,1.26
2015-04-05,Boston,1.27
2015-03-29,Boston,1.19
2015-03-22,Boston,1.18
2015-03-15,Boston,1.25
2015-03-08,Boston,1.17
2015-03-01,Boston,1.11
2015-02-22,Boston,1.23
2015-02-15,Boston,1.2
2015-02-08,Boston,1.04
2015-02-01,Boston,1.22
2015-01-25,Boston,1.17
2015-01-18,Boston,1.23
2015-01-11,Boston,1.1
2015-01-04,Boston,1.02
2015-12-27,BuffaloRochester,1.35
2015-12-20,BuffaloRochester,1.37
2015-12-13,BuffaloRochester,1.35
2015-12-06,BuffaloRochester,1.23
2015-11-29,BuffaloRochester,1.39
2015-11-22,BuffaloRochester,1.4
2015-11-15,BuffaloRochester,1.36
2015-11-08,BuffaloRochester,1.3
2015-11-01,BuffaloRochester,1.23
2015-10-25,BuffaloRochester,1.36
2015-10-18,BuffaloRochester,1.29
2015-10-11,BuffaloRochester,1.3
2015-10-04,BuffaloRochester,1.33
2015-09-27,BuffaloRochester,1.31
2015-09-20,BuffaloRochester,1.54
2015-09-13,BuffaloRochester,1.59
2015-09-06,BuffaloRochester,1.56
2015-08-30,BuffaloRochester,1.38
2015-08-23,BuffaloRochester,1.49
2015-08-16,BuffaloRochester,1.5
2015-08-09,BuffaloRochester,1.47
2015-08-02,BuffaloRochester,1.47
2015-07-26,BuffaloRochester,1.39
2015-07-19,BuffaloRochester,1.36
2015-07-12,BuffaloRochester,1.45
2015-07-05,BuffaloRochester,1.47
2015-06-28,BuffaloRochester,1.36
2015-06-21,BuffaloRochester,1.5
2015-06-14,BuffaloRochester,1.34
2015-06-07,BuffaloRochester,1.38
2015-05-31,BuffaloRochester,1.4
2015-05-24,BuffaloRochester,1.43
2015-05-17,BuffaloRochester,1.35
2015-05-10,BuffaloRochester,1.33
2015-05-03,BuffaloRochester,1.42
2015-04-26,BuffaloRochester,1.41
2015-04-19,BuffaloRochester,1.42
2015-04-12,BuffaloRochester,1.42
2015-04-05,BuffaloRochester,1.44
2015-03-29,BuffaloRochester,1.39
2015-03-22,BuffaloRochester,1.4
2015-03-15,BuffaloRochester,1.47
2015-03-08,BuffaloRochester,1.35
2015-03-01,BuffaloRochester,1.43
2015-02-22,BuffaloRochester,1.41
2015-02-15,BuffaloRochester,1.44
2015-02-08,BuffaloRochester,1.36
2015-02-01,BuffaloRochester,1.33
2015-01-25,BuffaloRochester,1.5
2015-01-18,BuffaloRochester,1.52
2015-01-11,BuffaloRochester,1.54
2015-01-04,BuffaloRochester,1.4
2015-12-27,California,0.9
2015-12-20,California,0.94
2015-12-13,California,0.87
2015-12-06,California,0.78
2015-11-29,California,0.91
2015-11-22,California,0.92
2015-11-15,California,0.83
2015-11-08,California,0.98
2015-11-01,California,0.95
2015-10-25,California,1.12
2015-10-18,California,1.07
2015-10-11,California,1.08
2015-10-04,California,1.02
2015-09-27,California,1.04
2015-09-20,California,1.14
2015-09-13,California,1.13
2015-09-06,California,1.09
2015-08-30,California,1.08
