AveragePrice,Total Volume,type,year,region
1.13,450816.39,conventional,2015,Boston
1.07,489802.88,conventional,2015,Boston
1.01,549945.76,conventional,2015,Boston
1.02,488679.31,conventional,2015,Boston
1.19,350559.81,conventional,2015,Boston
1.07,466759.99,conventional,2015,Boston
1.05,513738.98,conventional,2015,Boston
1.04,641759.57,conventional,2015,Boston
1.06,553096.84,conventional,2015,Boston
1.02,534249.47,conventional,2015,Boston
0.94,725296.29,conventional,2015,Boston
1.14,485706.68,conventional,2015,Boston
1.07,536479.42,conventional,2015,Boston
1.07,553307.04,conventional,2015,Boston
1.15,498640.23,conventional,2015,Boston
1.03,655682.95,conventional,2015,Boston
1.11,577774.74,conventional,2015,Boston
1.13,526664.87,conventional,2015,Boston
1.07,589471.32,conventional,2015,Boston
1.15,565795.06,conventional,2015,Boston
1.07,690517.19,conventional,2015,Boston
1.17,571994.5,conventional,2015,Boston
1.28,500233.69,conventional,2015,Boston
1.18,597168.12,conventional,2015,Boston
1.14,634515.74,conventional,2015,Boston
1.27,582909.73,conventional,2015,Boston
1.25,560494.92,conventional,2015,Boston
1.24,543504.66,conventional,2015,Boston
1.08,684346.48,conventional,2015,Boston
1.25,562542.86,conventional,2015,Boston
1.26,565160.95,conventional,2015,Boston
1.14,633521.98,conventional,2015,Boston
1.26,534488.54,conventional,2015,Boston
1.14,625558.14,conventional,2015,Boston
1.17,552368.94,conventional,2015,Boston
1.28,465911.37,conventional,2015,Boston
1.15,504619.83,conventional,2015,Boston
1.26,408485.16,conventional,2015,Boston
1.27,449818.01,conventional,2015,Boston
1.19,453631.25,conventional,2015,Boston
1.18,453173.22,conventional,2015,Boston
1.25,417750.36,conventional,2015,Boston
1.17,408403.96,conventional,2015,Boston
1.11,485736.1,conventional,2015,Boston
1.23,355432.28,conventional,2015,Boston
1.2,399883.99,conventional,2015,Boston
1.04,609985.34,conventional,2015,Boston
1.22,490022.14,conventional,2015,Boston
1.17,409343.56,conventional,2015,Boston
1.23,401331.33,conventional,2015,Boston
1.1,437771.89,conventional,2015,Boston
1.02,491738.0,conventional,2015,Boston
0.93,661137.13,conventional,2015,Chicago
0.91,690669.34,conventional,2015,Chicago
1.07,668601.5,conventional,2015,Chicago
1.14,664020.49,conventional,2015,Chicago
1.11,602481.22,conventional,2015,Chicago
0.94,751897.89,conventional,2015,Chicago
1.17,641881.96,conventional,2015,Chicago
1.01,711146.61,conventional,2015,Chicago
1.0,807041.46,conventional,2015,Chicago
1.12,687650.27,conventional,2015,Chicago
1.15,690302.58,conventional,2015,Chicago
1.08,708914.17,conventional,2015,Chicago
1.18,675172.63,conventional,2015,Chicago
1.15,720501.55,conventional,2015,Chicago
1.19,729117.42,conventional,2015,Chicago
1.19,775671.49,conventional,2015,Chicago
1.11,808677.78,conventional,2015,Chicago
1.12,773773.53,conventional,2015,Chicago
1.2,751850.01,conventional,2015,Chicago
1.16,817690.89,conventional,2015,Chicago
1.25,731125.01,conventional,2015,Chicago
1.27,761027.42,conventional,2015,Chicago
1.12,791332.34,conventional,2015,Chicago
1.24,797060.27,conventional,2015,Chicago
1.26,772151.2,conventional,2015,Chicago
1.24,937317.45,conventional,2015,Chicago
1.21,786250.22,conventional,2015,Chicago
1.24,804902.52,conventional,2015,Chicago
1.21,868197.41,conventional,2015,Chicago
1.24,824216.23,conventional,2015,Chicago
1.26,803571.87,conventional,2015,Chicago
1.23,887105.04,conventional,2015,Chicago
1.23,817870.17,conventional,2015,Chicago
1.23,835938.63,conventional,2015,Chicago
1.04,978376.13,conventional,2015,Chicago
1.24,779868.01,conventional,2015,Chicago
1.24,832529.06,conventional,2015,Chicago
1.24,710718.98,conventional,2015,Chicago
1.27,751812.42,conventional,2015,Chicago
1.22,757271.96,conventional,2015,Chicago
1.21,799946.53,conventional,2015,Chicago
1.09,827010.39,conventional,2015,Chicago
1.18,772997.09,conventional,2015,Chicago
1.09,863391.73,conventional,2015,Chicago
1.18,773078.09,conventional,2015,Chicago
1.17,726401.24,conventional,2015,Chicago
1.13,729325.61,conventional,2015,Chicago
0.91,1133491.66,conventional,2015,Chicago
1.22,745439.17,conventional,2015,Chicago
1.14,797741.43,conventional,2015,Chicago
1.15,802874.94,conventional,2015,Chicago
1.11,783068.03,conventional,2015,Chicago
0.98,251443.08,conventional,2015,SouthCarolina
1.04,211066.05,conventional,2015,SouthCarolina
0.96,257166.53,conventional,2015,SouthCarolina
1.03,233274.4,conventional,2015,SouthCarolina
0.97,217965.37,conventional,2015,SouthCarolina
0.99,216767.98,conventional,2015,SouthCarolina
1.07,224373.12,conventional,2015,SouthCarolina
1.08,221080.11,conventional,2015,SouthCarolina
1.0,280886.82,conventional,2015,SouthCarolina
1.11,223607.39,conventional,2015,SouthCarolina
1.12,226246.39,conventional,2015,SouthCarolina
1.03,267962.33,conventional,2015,SouthCarolina
1.04,267919.95,conventional,2015,SouthCarolina
1.08,253422.99,conventional,2015,SouthCarolina
1.02,312177.28,conventional,2015,SouthCarolina
1.14,269754.97,conventional,2015,SouthCarolina
1.0,353755.0,conventional,2015,SouthCarolina
1.15,280699.74,conventional,2015,SouthCarolina
1.09,310381.51,conventional,2015,SouthCarolina
1.12,320750.54,conventional,2015,SouthCarolina
1.05,353930.82,conventional,2015,SouthCarolina
1.14,309611.87,conventional,2015,SouthCarolina
1.11,327629.87,conventional,2015,SouthCarolina
1.05,379505.99,conventional,2015,SouthCarolina
1.14,320934.33,conventional,2015,SouthCarolina
1.05,406711.2,conventional,2015,SouthCarolina
1.11,340424.79,conventional,2015,SouthCarolina
1.03,392755.13,conventional,2015,SouthCarolina
1.1,339919.17,conventional,2015,SouthCarolina
1.04,378845.21,conventional,2015,SouthCarolina
1.13,322891.36,conventional,2015,SouthCarolina
1.05,407499.97,conventional,2015,SouthCarolina
1.09,346700.41,conventional,2015,SouthCarolina
1.13,329845.26,conventional,2015,SouthCarolina
0.97,457411.45,conventional,2015,SouthCarolina
1.1,319659.25,conventional,2015,SouthCarolina
1.08,322940.72,conventional,2015,SouthCarolina
1.05,356627.38,conventional,2015,SouthCarolina
1.1,311646.73,conventional,2015,SouthCarolina
1.11,284839.51,conventional,2015,SouthCarolina
1.0,366680.0,conventional,2015,SouthCarolina
1.15,297855.71,conventional,2015,SouthCarolina
1.14,289679.91,conventional,2015,SouthCarolina
1.05,337576.71,conventional,2015,SouthCarolina
1.02,332918.7,conventional,2015,SouthCarolina
1.11,278514.05,conventional,2015,SouthCarolina
1.06,282822.72,conventional,2015,SouthCarolina
0.91,469684.32,conventional,2015,SouthCarolina
1.06,311348.31,conventional,2015,SouthCarolina
1.15,276205.95,conventional,2015,SouthCarolina
1.1,279706.73,conventional,2015,SouthCarolina
1.01,309024.22,conventional,2015,SouthCarolina
1.28,447600.75,conventional,2016,Boston
1.09,579577.33,conventional,2016,Boston
1.22,510800.58,conventional,2016,Boston
1.26,473428.36,conventional,2016,Boston
1.45,391257.01,conventional,2016,Boston
1.39,475677.35,conventional,2016,Boston
1.56,397601.1,conventional,2016,Boston
1.62,366175.49,conventional,2016,Boston
